agency_name,fiscal_year,total_budget
ADMIN FOR CHILDREN'S SERVICES,2017,5956945722
BOARD OF CORRECTION,2017,5036411
BOARD OF ELECTIONS,2017,274828362
BOROUGH PRESIDENT BRONX,2017,11329957
BOROUGH PRESIDENT - BROOKLYN,2017,13024640
BOROUGH PRESIDENT - MANHATTAN,2017,9430766
BOROUGH PRESIDENT - QUEENS,2017,10674236
BOROUGH PRESIDENT STATEN ISLAND,2017,8675697
BRONX COMMUNITY BOARD #1,2017,593782
BRONX COMMUNITY BOARD #10,2017,615401
BRONX COMMUNITY BOARD #11,2017,577878
BRONX COMMUNITY BOARD #12,2017,478429
BRONX COMMUNITY BOARD #2,2017,559202
BRONX COMMUNITY BOARD #3,2017,578806
BRONX COMMUNITY BOARD #4,2017,494826
BRONX COMMUNITY BOARD #5,2017,489186
BRONX COMMUNITY BOARD #6,2017,473469
BRONX COMMUNITY BOARD #7,2017,582787
BRONX COMMUNITY BOARD #8,2017,574927
BRONX COMMUNITY BOARD #9,2017,579208
BROOKLYN COMMUNITY BOARD #1,2017,613776
BROOKLYN COMMUNITY BOARD #10,2017,655750
BROOKLYN COMMUNITY BOARD #11,2017,566639
BROOKLYN COMMUNITY BOARD #12,2017,638319
BROOKLYN COMMUNITY BOARD #13,2017,589735
BROOKLYN COMMUNITY BOARD #14,2017,616959
BROOKLYN COMMUNITY BOARD #15,2017,467822
BROOKLYN COMMUNITY BOARD #16,2017,594400
BROOKLYN COMMUNITY BOARD #17,2017,645091
BROOKLYN COMMUNITY BOARD #18,2017,467826
BROOKLYN COMMUNITY BOARD #2,2017,564770
BROOKLYN COMMUNITY BOARD #3,2017,550697
BROOKLYN COMMUNITY BOARD #4,2017,573346
BROOKLYN COMMUNITY BOARD #5,2017,467822
BROOKLYN COMMUNITY BOARD #6,2017,526680
BROOKLYN COMMUNITY BOARD #7,2017,484822
BROOKLYN COMMUNITY BOARD #8,2017,597086
BROOKLYN COMMUNITY BOARD #9,2017,587358
BROOKLYN PUBLIC LIBRARY,2017,203913033
BUSINESS INTEGRITY COMMISSION,2017,17331769
CAMPAIGN FINANCE BOARD,2017,30003672
CITY CLERK,2017,11235585
CITY COUNCIL,2017,122047410
CITY UNIVERSITY OF NEW YORK,2017,2135442455
CIVILIAN COMPLAINT REVIEW BOARD,2017,31748422
CIVIL SERVICE COMMISSION,2017,2061726
COMMISSION ON HUMAN RIGHTS,2017,21959598
CONFLICTS OF INTEREST BOARD,2017,4682636
DEBT SERVICE,2017,10658303092
DEPARTMENT FOR THE AGING,2017,641644277
DEPARTMENT OF BUILDINGS,2017,290134262
DEPARTMENT OF CITY PLANNING,2017,79875222
DEPARTMENT OF CITYWIDE ADMIN SERVICE,2017,2390344699
DEPARTMENT OF CONSUMER AFFAIRS,2017,81170035
DEPARTMENT OF CORRECTION,2017,2642748963
DEPARTMENT OF CULTURAL AFFAIRS,2017,341379539
DEPARTMENT OF DESIGN & CONSTRUCTION,2017,1239976714
DEPARTMENT OF EDUCATION,2017,44218195769
DEPARTMENT OF EMERGENCY MANAGEMENT,2017,103387004
DEPARTMENT OF ENVIRONMENTAL PROTECT.,2017,2926617305
DEPARTMENT OF FINANCE,2017,540723656
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2017,3038809108
DEPARTMENT OF HOMELESS SERVICES,2017,2639362545
DEPARTMENT OF INFO TECH & TELECOMM,2017,1364746813
DEPARTMENT OF INVESTIGATION,2017,101770257
DEPARTMENT OF PARKS AND RECREATION,2017,987355850
DEPARTMENT OF PROBATION,2017,199935377
DEPARTMENT OF RECORDS & INFORMATION SVS,2017,16390619
DEPARTMENT OF SANITATION,2017,3081174135
DEPARTMENT OF SMALL BUSINESS SERVICES,2017,677764923
DEPARTMENT OF SOCIAL SERVICES,2017,19062375321
DEPARTMENT OF TRANSPORTATION,2017,1939563549
DEPARTMENT OF VETERANS' SERVICES,2017,0
DEPARTMENT OF YOUTH & COMMUNITY DEV,2017,1370707860
DISTRICT ATTORNEY BRONX COUNTY,2017,123242048
DISTRICT ATTORNEY KINGS COUNTY,2017,195669673
DISTRICT ATTORNEY NEW YORK COUNTY,2017,240030123
DISTRICT ATTORNEY QUEENS COUNTY,2017,119036285
DISTRICT ATTORNEY RICHMOND COUNTY,2017,21438084
EQUAL EMPLOYMENT PRACTICES COMMISSION,2017,2040362
FINANCIAL INFORMATION SERVICE AGENCY,2017,193020955
FIRE DEPARTMENT,2017,4086956050
HEALTH AND HOSPITALS CORP,2017,2026666045
HOUSING PRESERVATION AND DEVELOPMENT,2017,2147215088
INDEPENDENT BUDGET OFFICE,2017,10993810
LANDMARKS PRESERVATION COMM.,2017,11544174
LAW DEPARTMENT,2017,391823238
MANHATTAN COMMUNITY BOARD #1,2017,882322
MANHATTAN COMMUNITY BOARD #10,2017,653324
MANHATTAN COMMUNITY BOARD #11,2017,624205
MANHATTAN COMMUNITY BOARD #12,2017,679070
MANHATTAN COMMUNITY BOARD #2,2017,704575
MANHATTAN COMMUNITY BOARD #3,2017,783423
MANHATTAN COMMUNITY BOARD #4,2017,644052
MANHATTAN COMMUNITY BOARD #5,2017,676148
MANHATTAN COMMUNITY BOARD #6,2017,858250
MANHATTAN COMMUNITY BOARD #7,2017,647987
MANHATTAN COMMUNITY BOARD #8,2017,807090
MANHATTAN COMMUNITY BOARD #9,2017,570621
MAYORALTY,2017,252240279
MISCELLANEOUS,2017,18930236580
NEW YORK PUBLIC LIBRARY,2017,267391710
NEW YORK RESEARCH LIBRARIES,2017,53760488
NYC TAXI AND LIMOUSINE COMM,2017,121296354
OFFICE OF ADMINISTRATIVE TAX APPEALS,2017,9337840
OFFICE OF ADMIN TRIALS & HEARINGS,2017,76243472
OFFICE OF COLLECTIVE BARGAINING,2017,4928149
