agency_name,responsibility_center_name,fiscal_year,total_budget
ADMIN FOR CHILDREN'S SERVICES,ACS ADMINISTRATION,2017,350548940
ADMIN FOR CHILDREN'S SERVICES,ADOPTION SERVICES,2017,554633252
ADMIN FOR CHILDREN'S SERVICES,ALTERNATIVES TO DETENTION,2017,17648149
ADMIN FOR CHILDREN'S SERVICES,CHILD CARE SERVICES,2017,1858449474
ADMIN FOR CHILDREN'S SERVICES,CHILD WELFARE SUPPORT,2017,101333502
ADMIN FOR CHILDREN'S SERVICES,FOSTER CARE SERVICES,2017,1333361550
ADMIN FOR CHILDREN'S SERVICES,HEAD START,2017,351355244
ADMIN FOR CHILDREN'S SERVICES,JUVENILE JUSTICE SUPPORT,2017,22563296
ADMIN FOR CHILDREN'S SERVICES,NON-SECURE DETENTION,2017,35461063
ADMIN FOR CHILDREN'S SERVICES,OCFS RESIDENTIAL PLACEMENTS,2017,250662242
ADMIN FOR CHILDREN'S SERVICES,PREVENTIVE SERVICES,2017,525433680
ADMIN FOR CHILDREN'S SERVICES,PROTECTIVE SERVICES,2017,529219456
ADMIN FOR CHILDREN'S SERVICES,,2017,26275874
BOARD OF CORRECTION,BOARD OF CORRECTION,2017,4992731
BOARD OF CORRECTION,,2017,43680
BOARD OF ELECTIONS,CHIEF CLERK - BRONX,2017,4098866
BOARD OF ELECTIONS,CHIEF CLERK - BROOKLYN,2017,5930654
BOARD OF ELECTIONS,CHIEF CLERK - MANHATTAN,2017,5391846
BOARD OF ELECTIONS,CHIEF CLERK - QUEENS,2017,4653788
BOARD OF ELECTIONS,CHIEF CLERK - RICHMOND,2017,2261198
BOARD OF ELECTIONS,DATA PROCESSING,2017,5151424
BOARD OF ELECTIONS,DEPARTMENTAL OPERATIONS,2017,193438383
BOARD OF ELECTIONS,EXECUTIVE MANAGEMENT,2017,512594
BOARD OF ELECTIONS,FINANCE OFFICE,2017,45072170
BOARD OF ELECTIONS,,2017,8317439
BOROUGH PRESIDENT BRONX,OFFICE OF THE BOROUGH PRES,2017,16569351
BOROUGH PRESIDENT BRONX,,2017,-5239394
BOROUGH PRESIDENT - BROOKLYN,OFFICE OF THE BOROUGH PRES,2017,12257072
BOROUGH PRESIDENT - BROOKLYN,,2017,767568
BOROUGH PRESIDENT - MANHATTAN,OFFICE OF THE BOROUGH PRESIDEN,2017,9430766
BOROUGH PRESIDENT - MANHATTAN,,2017,0
BOROUGH PRESIDENT - QUEENS,OFFICE OF THE BOROUGH PRES,2017,10614236
BOROUGH PRESIDENT - QUEENS,,2017,60000
BOROUGH PRESIDENT STATEN ISLAND,OFFICE OF THE BORO PRES,2017,13160423
BOROUGH PRESIDENT STATEN ISLAND,,2017,-4484726
BRONX COMMUNITY BOARD #1,BRONX COMMUNITY BOARD #1,2017,593782
BRONX COMMUNITY BOARD #10,BRONX COMMUNITY BOARD #10,2017,615401
BRONX COMMUNITY BOARD #11,BRONX COMMUNITY BOARD # 11,2017,577878
BRONX COMMUNITY BOARD #12,BRONX COMMUNITY BOARD # 12,2017,478429
BRONX COMMUNITY BOARD #2,BRONX COMMUNITY BOARD #2,2017,559202
BRONX COMMUNITY BOARD #3,BRONX COMMUNITY BOARD #3,2017,578806
BRONX COMMUNITY BOARD #4,BRONX COMMUNITY BOARD #4,2017,494826
BRONX COMMUNITY BOARD #5,BRONX COMMUNITY BOARD #5,2017,467822
BRONX COMMUNITY BOARD #5,,2017,21364
BRONX COMMUNITY BOARD #6,BRONX COMMUNITY BOARD #6,2017,473469
BRONX COMMUNITY BOARD #7,BRONX COMMUNITY BOARD NO. 7,2017,582787
BRONX COMMUNITY BOARD #8,BRONX COMMUNITY BOARD #8,2017,574927
BRONX COMMUNITY BOARD #9,BRONX COMMUNITY BOARD #9,2017,579208
BROOKLYN COMMUNITY BOARD #1,BROOKLYN COMMUNITY BOARD #1,2017,613776
BROOKLYN COMMUNITY BOARD #10,BROOKLYN COMMUNITY BOARD NO.10,2017,655750
BROOKLYN COMMUNITY BOARD #11,BROOKLYN COMMUNITY BOARD #11,2017,566639
BROOKLYN COMMUNITY BOARD #12,BROOKLYN COMMUNITY BOARD #12,2017,638319
BROOKLYN COMMUNITY BOARD #13,BROOKLYN COMMUNITY BOARD #13,2017,589735
BROOKLYN COMMUNITY BOARD #14,BROOKLYN COMMUNITY BOARD #14,2017,616959
BROOKLYN COMMUNITY BOARD #15,BROOKLYN COMMUNITY BOARD #15,2017,467822
BROOKLYN COMMUNITY BOARD #16,BROOKLYN COMMUNITY BOARD #16,2017,594400
BROOKLYN COMMUNITY BOARD #17,BROOKLYN COMMUNITY BOARD #17,2017,645091
BROOKLYN COMMUNITY BOARD #18,BROOKLYN COMMUNITY BOARD #18,2017,467826
BROOKLYN COMMUNITY BOARD #2,BROOKLYN COMMUNITY BOARD #2,2017,564770
BROOKLYN COMMUNITY BOARD #3,BROOKLYN COMMUNITY BOARD #3,2017,550697
BROOKLYN COMMUNITY BOARD #4,BROOKLYN COMMUNITY BOARD #4,2017,573346
BROOKLYN COMMUNITY BOARD #5,BROOKLYN COMMUNITY BOARD #5,2017,467822
BROOKLYN COMMUNITY BOARD #6,BROOKLYN COMMUNITY BOARD #6,2017,526680
BROOKLYN COMMUNITY BOARD #7,BROOKLYN COMMUNITY BOARD # 7,2017,484822
BROOKLYN COMMUNITY BOARD #8,BROOKLYN COMMUNITY BOARD #8,2017,597086
BROOKLYN COMMUNITY BOARD #9,BROOKLYN COMMUNITY BOARD #9,2017,587358
BROOKLYN PUBLIC LIBRARY,BROOKLYN PUBLIC LIBRARY,2017,200012391
BROOKLYN PUBLIC LIBRARY,,2017,3900642
