agy_nm,fisc_yr,fnding,amt
Administration of Children's Services,2020,IC,4817
Administration of Children's Services,2020,CD,0
Administration of Children's Services,2020,C,948271
Administration of Children's Services,2020,IFA,0
Administration of Children's Services,2020,OC,140
Administration of Children's Services,2020,F,858922
Administration of Children's Services,2020,S,834212
Brooklyn Public Library,2020,IFA,0
Brooklyn Public Library,2020,F,0
Brooklyn Public Library,2020,CD,0
Brooklyn Public Library,2020,S,0
Brooklyn Public Library,2020,C,117286
Brooklyn Public Library,2020,IC,1870
Brooklyn Public Library,2020,OC,179
City University of New York,2020,CD,128
City University of New York,2020,IC,136566
City University of New York,2020,OC,22293
City University of New York,2020,S,245899
City University of New York,2020,IFA,0
City University of New York,2020,F,0
City University of New York,2020,C,850225
Department for the Aging,2020,IC,2967
Department for the Aging,2020,C,277556
Department for the Aging,2020,IFA,0
Department for the Aging,2020,F,93711
Department for the Aging,2020,CD,3835
Department for the Aging,2020,OC,254
Department for the Aging,2020,S,45659
Department of Citywide Administrative Services,2020,IFA,1440
Department of Citywide Administrative Services,2020,IC,732626
Department of Citywide Administrative Services,2020,CD,4757
Department of Citywide Administrative Services,2020,F,602208
Department of Citywide Administrative Services,2020,OC,82388
Department of Citywide Administrative Services,2020,S,56872
Department of Citywide Administrative Services,2020,C,359517
Department of Correction,2020,S,260
Department of Correction,2020,F,17779
Department of Correction,2020,IC,331
Department of Correction,2020,CD,0
Department of Correction,2020,C,1265271
Department of Correction,2020,IFA,734
Department of Correction,2020,OC,2842
Department of Cultural Affairs,2020,CD,82
Department of Cultural Affairs,2020,IC,5206
Department of Cultural Affairs,2020,IFA,162
Department of Cultural Affairs,2020,F,0
Department of Cultural Affairs,2020,S,161
Department of Cultural Affairs,2020,C,202902
Department of Cultural Affairs,2020,OC,1348
Department of Education,2020,CD,79175
Department of Education,2020,IFA,0
Department of Education,2020,S,11514481
Department of Education,2020,IC,51432
Department of Education,2020,F,2062283
Department of Education,2020,C,14064958
Department of Education,2020,OC,294192
Department of Environmental Protection,2020,S,694
Department of Environmental Protection,2020,F,11723
Department of Environmental Protection,2020,OC,10244
Department of Environmental Protection,2020,IFA,67615
Department of Environmental Protection,2020,IC,1342
Department of Environmental Protection,2020,CD,36382
Department of Environmental Protection,2020,C,1254811
Department of Health and Mental Hygiene,2020,S,440518
Department of Health and Mental Hygiene,2020,IFA,0
Department of Health and Mental Hygiene,2020,F,341574
Department of Health and Mental Hygiene,2020,IC,26551
Department of Health and Mental Hygiene,2020,C,1002852
Department of Health and Mental Hygiene,2020,OC,48800
Department of Health and Mental Hygiene,2020,CD,0
Department of Homeless Services,2020,CD,4688
Department of Homeless Services,2020,IFA,0
Department of Homeless Services,2020,IC,899
Department of Homeless Services,2020,F,617741
Department of Homeless Services,2020,S,172759
Department of Homeless Services,2020,C,1569837
Department of Homeless Services,2020,OC,3263
Department of Housing Preservation and Development,2020,S,4322
Department of Housing Preservation and Development,2020,OC,1757
Department of Housing Preservation and Development,2020,F,555784
Department of Housing Preservation and Development,2020,IFA,21273
Department of Housing Preservation and Development,2020,CD,249361
