agency_name,fiscal_year,total_budget
ADMIN FOR CHILDREN'S SERVICES,2017,2965726461
BOARD OF CORRECTION,2017,2472600
BOARD OF ELECTIONS,2017,132431486
BOROUGH PRESIDENT BRONX,2017,5661779
BOROUGH PRESIDENT - BROOKLYN,2017,6511682
BOROUGH PRESIDENT - MANHATTAN,2017,4717095
BOROUGH PRESIDENT - QUEENS,2017,5363116
BOROUGH PRESIDENT STATEN ISLAND,2017,4338685
BRONX COMMUNITY BOARD #1,2017,296891
BRONX COMMUNITY BOARD #10,2017,307134
BRONX COMMUNITY BOARD #11,2017,289034
BRONX COMMUNITY BOARD #12,2017,238852
BRONX COMMUNITY BOARD #2,2017,279601
BRONX COMMUNITY BOARD #3,2017,289857
BRONX COMMUNITY BOARD #4,2017,247413
BRONX COMMUNITY BOARD #5,2017,244593
BRONX COMMUNITY BOARD #6,2017,235916
BRONX COMMUNITY BOARD #7,2017,291396
BRONX COMMUNITY BOARD #8,2017,287802
BRONX COMMUNITY BOARD #9,2017,289604
BROOKLYN COMMUNITY BOARD #1,2017,306745
BROOKLYN COMMUNITY BOARD #10,2017,327782
BROOKLYN COMMUNITY BOARD #11,2017,282951
BROOKLYN COMMUNITY BOARD #12,2017,318996
BROOKLYN COMMUNITY BOARD #13,2017,294658
BROOKLYN COMMUNITY BOARD #14,2017,308697
BROOKLYN COMMUNITY BOARD #15,2017,233911
BROOKLYN COMMUNITY BOARD #16,2017,297200
BROOKLYN COMMUNITY BOARD #17,2017,323801
BROOKLYN COMMUNITY BOARD #18,2017,233913
BROOKLYN COMMUNITY BOARD #2,2017,282385
BROOKLYN COMMUNITY BOARD #3,2017,275326
BROOKLYN COMMUNITY BOARD #4,2017,286673
BROOKLYN COMMUNITY BOARD #5,2017,233911
BROOKLYN COMMUNITY BOARD #6,2017,248340
BROOKLYN COMMUNITY BOARD #7,2017,242411
BROOKLYN COMMUNITY BOARD #8,2017,298359
BROOKLYN COMMUNITY BOARD #9,2017,293545
BROOKLYN PUBLIC LIBRARY,2017,101939232
BUSINESS INTEGRITY COMMISSION,2017,8697968
CAMPAIGN FINANCE BOARD,2017,15001836
CITY CLERK,2017,5634527
CITY COUNCIL,2017,61023705
CITY UNIVERSITY OF NEW YORK,2017,1072296610
CIVILIAN COMPLAINT REVIEW BOARD,2017,15874211
CIVIL SERVICE COMMISSION,2017,1025863
COMMISSION ON HUMAN RIGHTS,2017,10979161
CONFLICTS OF INTEREST BOARD,2017,2432991
DEBT SERVICE,2017,5880030856
DEPARTMENT FOR THE AGING,2017,321396487
DEPARTMENT OF BUILDINGS,2017,134888377
DEPARTMENT OF CITY PLANNING,2017,37680266
DEPARTMENT OF CITYWIDE ADMIN SERVICE,2017,1140480312
DEPARTMENT OF CONSUMER AFFAIRS,2017,40188282
DEPARTMENT OF CORRECTION,2017,1325603205
DEPARTMENT OF CULTURAL AFFAIRS,2017,167117788
DEPARTMENT OF DESIGN & CONSTRUCTION,2017,617323679
DEPARTMENT OF EDUCATION,2017,22242644637
DEPARTMENT OF EMERGENCY MANAGEMENT,2017,50548777
DEPARTMENT OF ENVIRONMENTAL PROTECT.,2017,1418383242
DEPARTMENT OF FINANCE,2017,268508477
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2017,1531344874
DEPARTMENT OF HOMELESS SERVICES,2017,1326048066
DEPARTMENT OF INFO TECH & TELECOMM,2017,673090992
DEPARTMENT OF INVESTIGATION,2017,50527391
DEPARTMENT OF PARKS AND RECREATION,2017,493511156
DEPARTMENT OF PROBATION,2017,98069031
DEPARTMENT OF RECORDS & INFORMATION SVS,2017,8133167
DEPARTMENT OF SANITATION,2017,1532956384
DEPARTMENT OF SMALL BUSINESS SERVICES,2017,354170842
DEPARTMENT OF SOCIAL SERVICES,2017,9383925143
DEPARTMENT OF TRANSPORTATION,2017,963268290
DEPARTMENT OF VETERANS' SERVICES,2017,0
DEPARTMENT OF YOUTH & COMMUNITY DEV,2017,691736346
DISTRICT ATTORNEY BRONX COUNTY,2017,61895832
DISTRICT ATTORNEY KINGS COUNTY,2017,97948355
DISTRICT ATTORNEY NEW YORK COUNTY,2017,121483783
DISTRICT ATTORNEY QUEENS COUNTY,2017,59717763
DISTRICT ATTORNEY RICHMOND COUNTY,2017,10827147
EQUAL EMPLOYMENT PRACTICES COMMISSION,2017,1015181
FINANCIAL INFORMATION SERVICE AGENCY,2017,95911341
FIRE DEPARTMENT,2017,2049382609
HEALTH AND HOSPITALS CORP,2017,1325831379
HOUSING PRESERVATION AND DEVELOPMENT,2017,1054518632
INDEPENDENT BUDGET OFFICE,2017,5034339
LANDMARKS PRESERVATION COMM.,2017,5701990
LAW DEPARTMENT,2017,195118251
MANHATTAN COMMUNITY BOARD #1,2017,440721
MANHATTAN COMMUNITY BOARD #10,2017,326662
MANHATTAN COMMUNITY BOARD #11,2017,312223
MANHATTAN COMMUNITY BOARD #12,2017,339535
MANHATTAN COMMUNITY BOARD #2,2017,352397
MANHATTAN COMMUNITY BOARD #3,2017,390679
MANHATTAN COMMUNITY BOARD #4,2017,322026
MANHATTAN COMMUNITY BOARD #5,2017,338074
MANHATTAN COMMUNITY BOARD #6,2017,429125
MANHATTAN COMMUNITY BOARD #7,2017,323509
MANHATTAN COMMUNITY BOARD #8,2017,403545
MANHATTAN COMMUNITY BOARD #9,2017,285447
MAYORALTY,2017,126284291
MISCELLANEOUS,2017,9143071102
NEW YORK PUBLIC LIBRARY,2017,134058057
NEW YORK RESEARCH LIBRARIES,2017,26885600
NYC TAXI AND LIMOUSINE COMM,2017,52728562
OFFICE OF ADMINISTRATIVE TAX APPEALS,2017,4668920
OFFICE OF ADMIN TRIALS & HEARINGS,2017,38012827
OFFICE OF COLLECTIVE BARGAINING,2017,2409021
OFFICE OF PAYROLL ADMINISTRATION,2017,17828893
OFFICE OF PROSECUTION SPEC NARCO,2017,21627725
OFFICE OF THE ACTUARY,2017,7223628
OFFICE OF THE COMPTROLLER,2017,94543296
PENSION CONTRIBUTIONS,2017,9285221553
POLICE DEPARTMENT,2017,5521807171
PUBLIC ADMINISTRATOR-BRONX COUNTY,2017,626566
PUBLIC ADMINISTRATOR-KINGS COUNTY,2017,755482
PUBLIC ADMINISTRATOR-NEW YORK COUNTY,2017,1742499
PUBLIC ADMINISTRATOR- QUEENS COUNTY,2017,575502
PUBLIC ADMINISTRATOR-RICHMOND COUNTY,2017,479646
PUBLIC ADVOCATE,2017,3403049
QUEENS BOROUGH PUBLIC LIBRARY,2017,101657759
QUEENS COMMUNITY BOARD #1,2017,303168
QUEENS COMMUNITY BOARD #10,2017,282813
QUEENS COMMUNITY BOARD #11,2017,297813
QUEENS COMMUNITY BOARD #12,2017,285394
QUEENS COMMUNITY BOARD #13,2017,269774
QUEENS COMMUNITY BOARD #14,2017,262695
QUEENS COMMUNITY BOARD #2,2017,318836
QUEENS COMMUNITY BOARD #3,2017,333314
QUEENS COMMUNITY BOARD #4,2017,280749
QUEENS COMMUNITY BOARD #5,2017,274155
QUEENS COMMUNITY BOARD #6,2017,286177
QUEENS COMMUNITY BOARD #7,2017,321614
QUEENS COMMUNITY BOARD #8,2017,311796
QUEENS COMMUNITY BOARD #9,2017,236735
STATEN ISLAND COMMUNITY BOARD #1,2017,292887
STATEN ISLAND COMMUNITY BOARD #2,2017,278913
STATEN ISLAND COMMUNITY BOARD #3,2017,342316
ADMIN FOR CHILDREN'S SERVICES,2018,3030807727
BOARD OF CORRECTION,2018,2666229
BOARD OF ELECTIONS,2018,132122913
BOROUGH PRESIDENT BRONX,2018,5795991
BOROUGH PRESIDENT - BROOKLYN,2018,6397886
BOROUGH PRESIDENT - MANHATTAN,2018,4838825
BOROUGH PRESIDENT - QUEENS,2018,5411116
BOROUGH PRESIDENT STATEN ISLAND,2018,4428533
BRONX COMMUNITY BOARD #1,2018,291581
BRONX COMMUNITY BOARD #10,2018,302545
BRONX COMMUNITY BOARD #11,2018,290049
BRONX COMMUNITY BOARD #12,2018,238852
BRONX COMMUNITY BOARD #2,2018,281688
BRONX COMMUNITY BOARD #3,2018,294444
BRONX COMMUNITY BOARD #4,2018,247413
BRONX COMMUNITY BOARD #5,2018,244593
BRONX COMMUNITY BOARD #6,2018,237087
BRONX COMMUNITY BOARD #7,2018,299332
BRONX COMMUNITY BOARD #8,2018,290897
BRONX COMMUNITY BOARD #9,2018,286114
BROOKLYN COMMUNITY BOARD #1,2018,308012
BROOKLYN COMMUNITY BOARD #10,2018,322418
BROOKLYN COMMUNITY BOARD #11,2018,282762
BROOKLYN COMMUNITY BOARD #12,2018,315390
BROOKLYN COMMUNITY BOARD #13,2018,295534
BROOKLYN COMMUNITY BOARD #14,2018,313429
BROOKLYN COMMUNITY BOARD #15,2018,233911
BROOKLYN COMMUNITY BOARD #16,2018,269247
BROOKLYN COMMUNITY BOARD #17,2018,311205
BROOKLYN COMMUNITY BOARD #18,2018,233913
BROOKLYN COMMUNITY BOARD #2,2018,282227
BROOKLYN COMMUNITY BOARD #3,2018,277104
BROOKLYN COMMUNITY BOARD #4,2018,286946
BROOKLYN COMMUNITY BOARD #5,2018,233911
BROOKLYN COMMUNITY BOARD #6,2018,250822
BROOKLYN COMMUNITY BOARD #7,2018,237411
BROOKLYN COMMUNITY BOARD #8,2018,304697
BROOKLYN COMMUNITY BOARD #9,2018,390239
BROOKLYN PUBLIC LIBRARY,2018,103334324
BUSINESS INTEGRITY COMMISSION,2018,10182661
CAMPAIGN FINANCE BOARD,2018,16205968
CITY CLERK,2018,5984207
CITY COUNCIL,2018,64077444
CITY UNIVERSITY OF NEW YORK,2018,1205760937
CIVILIAN COMPLAINT REVIEW BOARD,2018,16178443
CIVIL SERVICE COMMISSION,2018,1085970
COMMISSION ON HUMAN RIGHTS,2018,11571955
CONFLICTS OF INTEREST BOARD,2018,2561120
DEBT SERVICE,2018,5890641351
DEPARTMENT FOR THE AGING,2018,342205754
DEPARTMENT OF BUILDINGS,2018,156195553
DEPARTMENT OF CITY PLANNING,2018,41270181
DEPARTMENT OF CITYWIDE ADMIN SERVICE,2018,1187063473
DEPARTMENT OF CONSUMER AFFAIRS,2018,38283868
DEPARTMENT OF CORRECTION,2018,1389811085
DEPARTMENT OF CULTURAL AFFAIRS,2018,185583042
DEPARTMENT OF DESIGN & CONSTRUCTION,2018,729179038
DEPARTMENT OF EDUCATION,2018,23425129605
DEPARTMENT OF EMERGENCY MANAGEMENT,2018,59430890
DEPARTMENT OF ENVIRONMENTAL PROTECT.,2018,1517558200
DEPARTMENT OF FINANCE,2018,277733818
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2018,1667729013
DEPARTMENT OF HOMELESS SERVICES,2018,1752802759
DEPARTMENT OF INFO TECH & TELECOMM,2018,707208370
DEPARTMENT OF INVESTIGATION,2018,54938055
DEPARTMENT OF PARKS AND RECREATION,2018,541008357
DEPARTMENT OF PROBATION,2018,101096745
DEPARTMENT OF RECORDS & INFORMATION SVS,2018,8170970
DEPARTMENT OF SANITATION,2018,1601392749
DEPARTMENT OF SMALL BUSINESS SERVICES,2018,353055715
DEPARTMENT OF SOCIAL SERVICES,2018,9692246805
DEPARTMENT OF TRANSPORTATION,2018,1001423127
DEPARTMENT OF VETERANS' SERVICES,2018,4064440
DEPARTMENT OF YOUTH & COMMUNITY DEV,2018,747624044
DISTRICT ATTORNEY BRONX COUNTY,2018,74641182
DISTRICT ATTORNEY KINGS COUNTY,2018,100193183
DISTRICT ATTORNEY NEW YORK COUNTY,2018,126063259
DISTRICT ATTORNEY QUEENS COUNTY,2018,66212436
DISTRICT ATTORNEY RICHMOND COUNTY,2018,14746429
EQUAL EMPLOYMENT PRACTICES COMMISSION,2018,1138908
FINANCIAL INFORMATION SERVICE AGENCY,2018,102706001
FIRE DEPARTMENT,2018,2069834643
HEALTH AND HOSPITALS CORP,2018,737963816
HOUSING PRESERVATION AND DEVELOPMENT,2018,1351763502
INDEPENDENT BUDGET OFFICE,2018,5420144
LANDMARKS PRESERVATION COMM.,2018,5894394
LAW DEPARTMENT,2018,219776523
MANHATTAN COMMUNITY BOARD #1,2018,422309
MANHATTAN COMMUNITY BOARD #10,2018,331905
MANHATTAN COMMUNITY BOARD #11,2018,322735
MANHATTAN COMMUNITY BOARD #12,2018,609473
MANHATTAN COMMUNITY BOARD #2,2018,404509
MANHATTAN COMMUNITY BOARD #3,2018,413055
MANHATTAN COMMUNITY BOARD #4,2018,322595
MANHATTAN COMMUNITY BOARD #5,2018,317938
MANHATTAN COMMUNITY BOARD #6,2018,450548
MANHATTAN COMMUNITY BOARD #7,2018,323613
MANHATTAN COMMUNITY BOARD #8,2018,414412
MANHATTAN COMMUNITY BOARD #9,2018,385609
MAYORALTY,2018,128491284
MISCELLANEOUS,2018,9168219988
NEW YORK PUBLIC LIBRARY,2018,138012709
NEW YORK RESEARCH LIBRARIES,2018,27811370
NYC TAXI AND LIMOUSINE COMM,2018,46890009
OFFICE OF ADMINISTRATIVE TAX APPEALS,2018,4972796
OFFICE OF ADMIN TRIALS & HEARINGS,2018,41378549
OFFICE OF COLLECTIVE BARGAINING,2018,2284049
OFFICE OF PAYROLL ADMINISTRATION,2018,16643165
OFFICE OF PROSECUTION SPEC NARCO,2018,22133941
OFFICE OF THE ACTUARY,2018,7193811
OFFICE OF THE COMPTROLLER,2018,105044030
PENSION CONTRIBUTIONS,2018,9395061871
POLICE DEPARTMENT,2018,5692434811
PUBLIC ADMINISTRATOR-BRONX COUNTY,2018,695259
PUBLIC ADMINISTRATOR-KINGS COUNTY,2018,851653
PUBLIC ADMINISTRATOR-NEW YORK COUNTY,2018,1729194
PUBLIC ADMINISTRATOR- QUEENS COUNTY,2018,612473
PUBLIC ADMINISTRATOR-RICHMOND COUNTY,2018,517341
PUBLIC ADVOCATE,2018,3598363
QUEENS BOROUGH PUBLIC LIBRARY,2018,105080727
QUEENS COMMUNITY BOARD #1,2018,314420
QUEENS COMMUNITY BOARD #10,2018,282626
QUEENS COMMUNITY BOARD #11,2018,306642
QUEENS COMMUNITY BOARD #12,2018,288873
QUEENS COMMUNITY BOARD #13,2018,271779
QUEENS COMMUNITY BOARD #14,2018,263080
QUEENS COMMUNITY BOARD #2,2018,319787
QUEENS COMMUNITY BOARD #3,2018,332442
QUEENS COMMUNITY BOARD #4,2018,277674
QUEENS COMMUNITY BOARD #5,2018,275010
QUEENS COMMUNITY BOARD #6,2018,289066
QUEENS COMMUNITY BOARD #7,2018,322059
QUEENS COMMUNITY BOARD #8,2018,307915
QUEENS COMMUNITY BOARD #9,2018,236734
STATEN ISLAND COMMUNITY BOARD #1,2018,293879
STATEN ISLAND COMMUNITY BOARD #2,2018,280917
STATEN ISLAND COMMUNITY BOARD #3,2018,342640
ADMIN FOR CHILDREN'S SERVICES,2019,3148299417
BOARD OF CORRECTION,2019,2687260
BOARD OF ELECTIONS,2019,143062297
BOROUGH PRESIDENT BRONX,2019,6020123
BOROUGH PRESIDENT - BROOKLYN,2019,6694307
BOROUGH PRESIDENT - MANHATTAN,2019,5022898
BOROUGH PRESIDENT - QUEENS,2019,5680917
BOROUGH PRESIDENT STATEN ISLAND,2019,4557681
BRONX COMMUNITY BOARD #1,2019,294257
BRONX COMMUNITY BOARD #10,2019,305347
BRONX COMMUNITY BOARD #11,2019,290339
BRONX COMMUNITY BOARD #12,2019,239433
BRONX COMMUNITY BOARD #2,2019,309092
BRONX COMMUNITY BOARD #3,2019,297005
BRONX COMMUNITY BOARD #4,2019,247413
BRONX COMMUNITY BOARD #5,2019,239594
BRONX COMMUNITY BOARD #6,2019,233911
BRONX COMMUNITY BOARD #7,2019,299845
BRONX COMMUNITY BOARD #8,2019,293420
BRONX COMMUNITY BOARD #9,2019,302595
BROOKLYN COMMUNITY BOARD #1,2019,308299
BROOKLYN COMMUNITY BOARD #10,2019,327371
BROOKLYN COMMUNITY BOARD #11,2019,303101
BROOKLYN COMMUNITY BOARD #12,2019,320257
BROOKLYN COMMUNITY BOARD #13,2019,295851
BROOKLYN COMMUNITY BOARD #14,2019,322252
BROOKLYN COMMUNITY BOARD #15,2019,233911
BROOKLYN COMMUNITY BOARD #16,2019,269914
BROOKLYN COMMUNITY BOARD #17,2019,321646
BROOKLYN COMMUNITY BOARD #18,2019,233913
BROOKLYN COMMUNITY BOARD #2,2019,284317
BROOKLYN COMMUNITY BOARD #3,2019,288352
BROOKLYN COMMUNITY BOARD #4,2019,291113
BROOKLYN COMMUNITY BOARD #5,2019,233911
BROOKLYN COMMUNITY BOARD #6,2019,251075
BROOKLYN COMMUNITY BOARD #7,2019,247411
BROOKLYN COMMUNITY BOARD #8,2019,307164
BROOKLYN COMMUNITY BOARD #9,2019,337644
BROOKLYN PUBLIC LIBRARY,2019,106018052
BUSINESS INTEGRITY COMMISSION,2019,8978780
CAMPAIGN FINANCE BOARD,2019,43664839
CITY CLERK,2019,5385771
CITY COUNCIL,2019,65077444
CITY UNIVERSITY OF NEW YORK,2019,1274750599
CIVILIAN COMPLAINT REVIEW BOARD,2019,16641746
CIVIL SERVICE COMMISSION,2019,1042623
COMMISSION ON HUMAN RIGHTS,2019,14851996
CONFLICTS OF INTEREST BOARD,2019,2580410
DEBT SERVICE,2019,6700805415
DEPARTMENT FOR THE AGING,2019,376702531
DEPARTMENT OF BUILDINGS,2019,167320208
DEPARTMENT OF CITY PLANNING,2019,40788003
DEPARTMENT OF CITYWIDE ADMIN SERVICE,2019,1260596730
DEPARTMENT OF CONSUMER AFFAIRS,2019,42085961
DEPARTMENT OF CORRECTION,2019,1423251535
DEPARTMENT OF CULTURAL AFFAIRS,2019,194830438
DEPARTMENT OF DESIGN & CONSTRUCTION,2019,553818352
DEPARTMENT OF EDUCATION,2019,25019450972
DEPARTMENT OF EMERGENCY MANAGEMENT,2019,64415382
DEPARTMENT OF ENVIRONMENTAL PROTECT.,2019,1487934381
DEPARTMENT OF FINANCE,2019,299044760
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2019,1749496246
DEPARTMENT OF HOMELESS SERVICES,2019,2249793766
DEPARTMENT OF INFO TECH & TELECOMM,2019,747391054
