agency_name,responsibility_center_name,fiscal_year,total_budget
ADMIN FOR CHILDREN'S SERVICES,ACS ADMINISTRATION,2017,173796103
ADMIN FOR CHILDREN'S SERVICES,ADOPTION SERVICES,2017,273398326
ADMIN FOR CHILDREN'S SERVICES,ALTERNATIVES TO DETENTION,2017,8832111
ADMIN FOR CHILDREN'S SERVICES,CHILD CARE SERVICES,2017,928865903
ADMIN FOR CHILDREN'S SERVICES,CHILD WELFARE SUPPORT,2017,50666751
ADMIN FOR CHILDREN'S SERVICES,FOSTER CARE SERVICES,2017,676173369
ADMIN FOR CHILDREN'S SERVICES,HEAD START,2017,175677622
ADMIN FOR CHILDREN'S SERVICES,JUVENILE JUSTICE SUPPORT,2017,11235626
ADMIN FOR CHILDREN'S SERVICES,NON-SECURE DETENTION,2017,17986807
ADMIN FOR CHILDREN'S SERVICES,OCFS RESIDENTIAL PLACEMENTS,2017,125765776
ADMIN FOR CHILDREN'S SERVICES,PREVENTIVE SERVICES,2017,262716840
ADMIN FOR CHILDREN'S SERVICES,PROTECTIVE SERVICES,2017,247473290
ADMIN FOR CHILDREN'S SERVICES,,2017,13137937
BOARD OF CORRECTION,BOARD OF CORRECTION,2017,2472600
BOARD OF CORRECTION,,2017,0
BOARD OF ELECTIONS,CHIEF CLERK - BRONX,2017,2049433
BOARD OF ELECTIONS,CHIEF CLERK - BROOKLYN,2017,2965327
BOARD OF ELECTIONS,CHIEF CLERK - MANHATTAN,2017,2695923
BOARD OF ELECTIONS,CHIEF CLERK - QUEENS,2017,2326894
BOARD OF ELECTIONS,CHIEF CLERK - RICHMOND,2017,1130599
BOARD OF ELECTIONS,DATA PROCESSING,2017,2575712
BOARD OF ELECTIONS,DEPARTMENTAL OPERATIONS,2017,92332601
BOARD OF ELECTIONS,EXECUTIVE MANAGEMENT,2017,256297
BOARD OF ELECTIONS,FINANCE OFFICE,2017,22536085
BOARD OF ELECTIONS,,2017,3562615
BOROUGH PRESIDENT BRONX,OFFICE OF THE BOROUGH PRES,2017,8281476
BOROUGH PRESIDENT BRONX,,2017,-2619697
BOROUGH PRESIDENT - BROOKLYN,OFFICE OF THE BOROUGH PRES,2017,6127898
BOROUGH PRESIDENT - BROOKLYN,,2017,383784
BOROUGH PRESIDENT - MANHATTAN,OFFICE OF THE BOROUGH PRESIDEN,2017,4717095
BOROUGH PRESIDENT - MANHATTAN,,2017,0
BOROUGH PRESIDENT - QUEENS,OFFICE OF THE BOROUGH PRES,2017,5303116
BOROUGH PRESIDENT - QUEENS,,2017,60000
BOROUGH PRESIDENT STATEN ISLAND,OFFICE OF THE BORO PRES,2017,6581048
BOROUGH PRESIDENT STATEN ISLAND,,2017,-2242363
BRONX COMMUNITY BOARD #1,BRONX COMMUNITY BOARD #1,2017,296891
BRONX COMMUNITY BOARD #10,BRONX COMMUNITY BOARD #10,2017,307134
BRONX COMMUNITY BOARD #11,BRONX COMMUNITY BOARD # 11,2017,289034
BRONX COMMUNITY BOARD #12,BRONX COMMUNITY BOARD # 12,2017,238852
BRONX COMMUNITY BOARD #2,BRONX COMMUNITY BOARD #2,2017,279601
BRONX COMMUNITY BOARD #3,BRONX COMMUNITY BOARD #3,2017,289857
BRONX COMMUNITY BOARD #4,BRONX COMMUNITY BOARD #4,2017,247413
BRONX COMMUNITY BOARD #5,BRONX COMMUNITY BOARD #5,2017,233911
BRONX COMMUNITY BOARD #5,,2017,10682
BRONX COMMUNITY BOARD #6,BRONX COMMUNITY BOARD #6,2017,235916
BRONX COMMUNITY BOARD #7,BRONX COMMUNITY BOARD NO. 7,2017,291396
BRONX COMMUNITY BOARD #8,BRONX COMMUNITY BOARD #8,2017,287802
BRONX COMMUNITY BOARD #9,BRONX COMMUNITY BOARD #9,2017,289604
BROOKLYN COMMUNITY BOARD #1,BROOKLYN COMMUNITY BOARD #1,2017,306745
BROOKLYN COMMUNITY BOARD #10,BROOKLYN COMMUNITY BOARD NO.10,2017,327782
BROOKLYN COMMUNITY BOARD #11,BROOKLYN COMMUNITY BOARD #11,2017,282951
