agency_name,fiscal_year,budget_amount,actual_amount,variance_amount,variance_pct,risk_flag
BROOKLYN PUBLIC LIBRARY,2020,111723595.0,119335000.0,7611405.0,6.81,AT RISK
CITY UNIVERSITY OF NEW YORK,2020,1307212142.0,1255111000.0,-52101142.0,-3.99,ON TRACK
DEPARTMENT FOR THE AGING,2020,399465257.0,423982000.0,24516743.0,6.14,AT RISK
DEPARTMENT OF CORRECTION,2020,1380738255.0,1287217000.0,-93521255.0,-6.77,ON TRACK
DEPARTMENT OF CULTURAL AFFAIRS,2020,206737434.0,209861000.0,3123566.0,1.51,ON TRACK
DEPARTMENT OF EDUCATION,2020,27013400480.0,28066521000.0,1053120520.0,3.9,ON TRACK
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2020,1878148868.0,1860295000.0,-17853868.0,-0.95,ON TRACK
DEPARTMENT OF HOMELESS SERVICES,2020,2141767161.0,2369187000.0,227419839.0,10.62,AT RISK
DEPARTMENT OF PARKS AND RECREATION,2020,585819571.0,567209000.0,-18610571.0,-3.18,ON TRACK
DEPARTMENT OF SANITATION,2020,1768551748.0,2103205000.0,334653252.0,18.92,HIGH RISK
DEPARTMENT OF SMALL BUSINESS SERVICES,2020,292917297.0,340110000.0,47192703.0,16.11,HIGH RISK
DEPARTMENT OF SOCIAL SERVICES,2020,10200550464.0,10555945000.0,355394536.0,3.48,ON TRACK
DEPARTMENT OF TRANSPORTATION,2020,1061111591.0,1094127000.0,33015409.0,3.11,ON TRACK
FIRE DEPARTMENT,2020,2141934264.0,2174497000.0,32562736.0,1.52,ON TRACK
NEW YORK PUBLIC LIBRARY,2020,146307543.0,157377000.0,11069457.0,7.57,AT RISK
POLICE DEPARTMENT,2020,5996064478.0,6086160000.0,90095522.0,1.5,ON TRACK
BROOKLYN PUBLIC LIBRARY,2021,119372416.0,118246000.0,-1126416.0,-0.94,ON TRACK
