agency_name,fiscal_year,forecasted_actual,budget_amount,forecast_variance_pct,risk_flag
BROOKLYN PUBLIC LIBRARY,2026,146214644.43,141324088,3.46,ON TRACK
BROOKLYN PUBLIC LIBRARY,2027,153524588.08,149838814,2.46,ON TRACK
CITY UNIVERSITY OF NEW YORK,2026,1477447541.0,1474624371,0.19,ON TRACK
CITY UNIVERSITY OF NEW YORK,2027,1565186756.21,1643620856,-4.77,ON TRACK
DEPARTMENT FOR THE AGING,2026,590275724.61,569819598,3.59,ON TRACK
DEPARTMENT FOR THE AGING,2027,625100503.43,609787056,2.51,ON TRACK
DEPARTMENT OF CORRECTION,2026,1348106992.81,1342608693,0.41,ON TRACK
DEPARTMENT OF CORRECTION,2027,1358569599.74,1379896867,-1.55,ON TRACK
DEPARTMENT OF CULTURAL AFFAIRS,2026,264978574.8,257443460,2.93,ON TRACK
DEPARTMENT OF CULTURAL AFFAIRS,2027,278307963.33,300056902,-7.25,ON TRACK
DEPARTMENT OF EDUCATION,2026,36035957041.65,34117512624,5.62,AT RISK
DEPARTMENT OF EDUCATION,2027,37481600795.15,37709638373,-0.6,ON TRACK
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2026,2677164391.61,2773009893,-3.46,ON TRACK
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2027,2806810132.57,2840239870,-1.18,ON TRACK
DEPARTMENT OF HOMELESS SERVICES,2026,4599274435.05,4354773550,5.61,AT RISK
DEPARTMENT OF HOMELESS SERVICES,2027,4955943123.14,4480299463,10.62,HIGH RISK
DEPARTMENT OF PARKS AND RECREATION,2026,672832374.84,660980803,1.79,ON TRACK
DEPARTMENT OF PARKS AND RECREATION,2027,690524058.94,724212346,-4.65,ON TRACK
DEPARTMENT OF SANITATION,2026,2097799981.62,2060187888,1.83,ON TRACK
DEPARTMENT OF SANITATION,2027,2143348063.38,2361140845,-9.22,ON TRACK
DEPARTMENT OF SMALL BUSINESS SERVICES,2026,248583846.26,326568128,-23.88,SIGNIFICANT UNDERSPEND
DEPARTMENT OF SMALL BUSINESS SERVICES,2027,219567096.79,331264905,-33.72,SIGNIFICANT UNDERSPEND
DEPARTMENT OF SOCIAL SERVICES,2026,14087527747.5,13403189383,5.11,AT RISK
DEPARTMENT OF SOCIAL SERVICES,2027,15026786637.79,14685909836,2.32,ON TRACK
DEPARTMENT OF TRANSPORTATION,2026,1661732272.49,1537548180,8.08,AT RISK
DEPARTMENT OF TRANSPORTATION,2027,1758098544.9,1583843258,11.0,HIGH RISK
FIRE DEPARTMENT,2026,2990974772.6,2884144455,3.7,ON TRACK
FIRE DEPARTMENT,2027,3131946175.86,2842842397,10.17,HIGH RISK
NEW YORK PUBLIC LIBRARY,2026,186449062.45,185090338,0.73,ON TRACK
NEW YORK PUBLIC LIBRARY,2027,192899798.71,196592525,-1.88,ON TRACK
POLICE DEPARTMENT,2026,7136299104.91,7003333839,1.9,ON TRACK
POLICE DEPARTMENT,2027,7402408208.92,6909145882,7.14,AT RISK
