agency_name,fiscal_year,metric,value,is_forecast
BROOKLYN PUBLIC LIBRARY,2020,Actual,119335000.0,Historical
BROOKLYN PUBLIC LIBRARY,2020,Budget,111723595.0,Historical
BROOKLYN PUBLIC LIBRARY,2021,Actual,118246000.0,Historical
BROOKLYN PUBLIC LIBRARY,2021,Budget,119372416.0,Historical
BROOKLYN PUBLIC LIBRARY,2022,Actual,118390000.0,Historical
BROOKLYN PUBLIC LIBRARY,2022,Budget,118234434.0,Historical
BROOKLYN PUBLIC LIBRARY,2023,Actual,130941000.0,Historical
BROOKLYN PUBLIC LIBRARY,2023,Budget,118204890.0,Historical
BROOKLYN PUBLIC LIBRARY,2024,Actual,128978000.0,Historical
BROOKLYN PUBLIC LIBRARY,2024,Budget,130940541.0,Historical
BROOKLYN PUBLIC LIBRARY,2025,Actual,141442000.0,Historical
BROOKLYN PUBLIC LIBRARY,2025,Budget,128659246.0,Historical
BROOKLYN PUBLIC LIBRARY,2026,Actual,146214644.43,Forecast
BROOKLYN PUBLIC LIBRARY,2026,Budget,141324088.0,Historical
BROOKLYN PUBLIC LIBRARY,2027,Actual,153524588.08,Forecast
BROOKLYN PUBLIC LIBRARY,2027,Budget,149838814.0,Historical
CITY UNIVERSITY OF NEW YORK,2020,Actual,1255111000.0,Historical
CITY UNIVERSITY OF NEW YORK,2020,Budget,1307212142.0,Historical
CITY UNIVERSITY OF NEW YORK,2021,Actual,1159432000.0,Historical
CITY UNIVERSITY OF NEW YORK,2021,Budget,1325154724.0,Historical
CITY UNIVERSITY OF NEW YORK,2022,Actual,1231721000.0,Historical
CITY UNIVERSITY OF NEW YORK,2022,Budget,1332569825.0,Historical
CITY UNIVERSITY OF NEW YORK,2023,Actual,1269749000.0,Historical
CITY UNIVERSITY OF NEW YORK,2023,Budget,1363176163.0,Historical
CITY UNIVERSITY OF NEW YORK,2024,Actual,1281872000.0,Historical
CITY UNIVERSITY OF NEW YORK,2024,Budget,1396707871.0,Historical
CITY UNIVERSITY OF NEW YORK,2025,Actual,1409038000.0,Historical
CITY UNIVERSITY OF NEW YORK,2025,Budget,1417323406.0,Historical
CITY UNIVERSITY OF NEW YORK,2026,Actual,1477447541.0,Forecast
CITY UNIVERSITY OF NEW YORK,2026,Budget,1474624371.0,Historical
CITY UNIVERSITY OF NEW YORK,2027,Actual,1565186756.21,Forecast
CITY UNIVERSITY OF NEW YORK,2027,Budget,1643620856.0,Historical
DEPARTMENT FOR THE AGING,2020,Actual,423982000.0,Historical
DEPARTMENT FOR THE AGING,2020,Budget,399465257.0,Historical
DEPARTMENT FOR THE AGING,2021,Actual,355611000.0,Historical
DEPARTMENT FOR THE AGING,2021,Budget,432575984.0,Historical
DEPARTMENT FOR THE AGING,2022,Actual,502583000.0,Historical
DEPARTMENT FOR THE AGING,2022,Budget,398817021.0,Historical
DEPARTMENT FOR THE AGING,2023,Actual,494742000.0,Historical
DEPARTMENT FOR THE AGING,2023,Budget,562120787.0,Historical
DEPARTMENT FOR THE AGING,2024,Actual,509351000.0,Historical
DEPARTMENT FOR THE AGING,2024,Budget,545291149.0,Historical
DEPARTMENT FOR THE AGING,2025,Actual,557095000.0,Historical
DEPARTMENT FOR THE AGING,2025,Budget,514786552.0,Historical
DEPARTMENT FOR THE AGING,2026,Actual,590275724.61,Forecast
DEPARTMENT FOR THE AGING,2026,Budget,569819598.0,Historical
DEPARTMENT FOR THE AGING,2027,Actual,625100503.43,Forecast
DEPARTMENT FOR THE AGING,2027,Budget,609787056.0,Historical
DEPARTMENT OF BUILDINGS,2025,Actual,179537000.0,Historical
DEPARTMENT OF BUILDINGS,2025,Budget,190569665.0,Historical
DEPARTMENT OF CORRECTION,2020,Actual,1287217000.0,Historical
DEPARTMENT OF CORRECTION,2020,Budget,1380738255.0,Historical
DEPARTMENT OF CORRECTION,2021,Actual,1259317000.0,Historical
DEPARTMENT OF CORRECTION,2021,Budget,1310387219.0,Historical
DEPARTMENT OF CORRECTION,2022,Actual,1391828000.0,Historical
DEPARTMENT OF CORRECTION,2022,Budget,1251519704.0,Historical
DEPARTMENT OF CORRECTION,2023,Actual,1357413000.0,Historical
DEPARTMENT OF CORRECTION,2023,Budget,1416285132.0,Historical
DEPARTMENT OF CORRECTION,2024,Actual,1277574000.0,Historical
DEPARTMENT OF CORRECTION,2024,Budget,1358236534.0,Historical
DEPARTMENT OF CORRECTION,2025,Actual,1356247000.0,Historical
DEPARTMENT OF CORRECTION,2025,Budget,1244806426.0,Historical
DEPARTMENT OF CORRECTION,2026,Actual,1348106992.81,Forecast
DEPARTMENT OF CORRECTION,2026,Budget,1342608693.0,Historical
DEPARTMENT OF CORRECTION,2027,Actual,1358569599.74,Forecast
DEPARTMENT OF CORRECTION,2027,Budget,1379896867.0,Historical
DEPARTMENT OF CULTURAL AFFAIRS,2020,Actual,209861000.0,Historical
DEPARTMENT OF CULTURAL AFFAIRS,2020,Budget,206737434.0,Historical
DEPARTMENT OF CULTURAL AFFAIRS,2021,Actual,185083000.0,Historical
DEPARTMENT OF CULTURAL AFFAIRS,2021,Budget,214838849.0,Historical
DEPARTMENT OF CULTURAL AFFAIRS,2022,Actual,229803000.0,Historical
DEPARTMENT OF CULTURAL AFFAIRS,2022,Budget,188215591.0,Historical
DEPARTMENT OF CULTURAL AFFAIRS,2023,Actual,245009000.0,Historical
DEPARTMENT OF CULTURAL AFFAIRS,2023,Budget,234118315.0,Historical
DEPARTMENT OF CULTURAL AFFAIRS,2024,Actual,222592000.0,Historical
DEPARTMENT OF CULTURAL AFFAIRS,2024,Budget,251167091.0,Historical
DEPARTMENT OF CULTURAL AFFAIRS,2025,Actual,257368000.0,Historical
DEPARTMENT OF CULTURAL AFFAIRS,2025,Budget,222188263.0,Historical
DEPARTMENT OF CULTURAL AFFAIRS,2026,Actual,264978574.8,Forecast
DEPARTMENT OF CULTURAL AFFAIRS,2026,Budget,257443460.0,Historical
DEPARTMENT OF CULTURAL AFFAIRS,2027,Actual,278307963.33,Forecast
DEPARTMENT OF CULTURAL AFFAIRS,2027,Budget,300056902.0,Historical
DEPARTMENT OF EDUCATION,2020,Actual,28066521000.0,Historical
DEPARTMENT OF EDUCATION,2020,Budget,27013400480.0,Historical
DEPARTMENT OF EDUCATION,2021,Actual,28545080000.0,Historical
DEPARTMENT OF EDUCATION,2021,Budget,28332901699.0,Historical
DEPARTMENT OF EDUCATION,2022,Actual,31558009000.0,Historical
DEPARTMENT OF EDUCATION,2022,Budget,29168888823.0,Historical
DEPARTMENT OF EDUCATION,2023,Actual,31505484000.0,Historical
DEPARTMENT OF EDUCATION,2023,Budget,31937815818.0,Historical
DEPARTMENT OF EDUCATION,2024,Actual,33367648000.0,Historical
DEPARTMENT OF EDUCATION,2024,Budget,31377888452.0,Historical
DEPARTMENT OF EDUCATION,2025,Actual,34672331000.0,Historical
DEPARTMENT OF EDUCATION,2025,Budget,33112195986.0,Historical
DEPARTMENT OF EDUCATION,2026,Actual,36035957041.65,Forecast
DEPARTMENT OF EDUCATION,2026,Budget,34117512624.0,Historical
DEPARTMENT OF EDUCATION,2027,Actual,37481600795.15,Forecast
DEPARTMENT OF EDUCATION,2027,Budget,37709638373.0,Historical
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2020,Actual,1860295000.0,Historical
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2020,Budget,1878148868.0,Historical
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2021,Actual,2181320000.0,Historical
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2021,Budget,2012486290.0,Historical
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2022,Actual,2613154000.0,Historical
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2022,Budget,2500852013.0,Historical
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2023,Actual,2335488000.0,Historical
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2023,Budget,3237324743.0,Historical
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2024,Actual,2344290000.0,Historical
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2024,Budget,2958997075.0,Historical
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2025,Actual,2452162000.0,Historical
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2025,Budget,2687087361.0,Historical
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2026,Actual,2677164391.61,Forecast
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2026,Budget,2773009893.0,Historical
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2027,Actual,2806810132.57,Forecast
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2027,Budget,2840239870.0,Historical
DEPARTMENT OF HOMELESS SERVICES,2020,Actual,2369187000.0,Historical
DEPARTMENT OF HOMELESS SERVICES,2020,Budget,2141767161.0,Historical
DEPARTMENT OF HOMELESS SERVICES,2021,Actual,3044489000.0,Historical
DEPARTMENT OF HOMELESS SERVICES,2021,Budget,2288546513.0,Historical
DEPARTMENT OF HOMELESS SERVICES,2022,Actual,2732767000.0,Historical
DEPARTMENT OF HOMELESS SERVICES,2022,Budget,2881366868.0,Historical
DEPARTMENT OF HOMELESS SERVICES,2023,Actual,3540380000.0,Historical
DEPARTMENT OF HOMELESS SERVICES,2023,Budget,2818746465.0,Historical
DEPARTMENT OF HOMELESS SERVICES,2024,Actual,3892169000.0,Historical
DEPARTMENT OF HOMELESS SERVICES,2024,Budget,3539182292.0,Historical
DEPARTMENT OF HOMELESS SERVICES,2025,Actual,4306362000.0,Historical
DEPARTMENT OF HOMELESS SERVICES,2025,Budget,4017882980.0,Historical
DEPARTMENT OF HOMELESS SERVICES,2026,Actual,4599274435.05,Forecast
DEPARTMENT OF HOMELESS SERVICES,2026,Budget,4354773550.0,Historical
DEPARTMENT OF HOMELESS SERVICES,2027,Actual,4955943123.14,Forecast
DEPARTMENT OF HOMELESS SERVICES,2027,Budget,4480299463.0,Historical
DEPARTMENT OF PARKS AND RECREATION,2020,Actual,567209000.0,Historical
DEPARTMENT OF PARKS AND RECREATION,2020,Budget,585819571.0,Historical
DEPARTMENT OF PARKS AND RECREATION,2021,Actual,526633000.0,Historical
DEPARTMENT OF PARKS AND RECREATION,2021,Budget,595335141.0,Historical
DEPARTMENT OF PARKS AND RECREATION,2022,Actual,588193000.0,Historical
DEPARTMENT OF PARKS AND RECREATION,2022,Budget,564872519.0,Historical
DEPARTMENT OF PARKS AND RECREATION,2023,Actual,614286000.0,Historical
DEPARTMENT OF PARKS AND RECREATION,2023,Budget,635690404.0,Historical
DEPARTMENT OF PARKS AND RECREATION,2024,Actual,639005000.0,Historical
DEPARTMENT OF PARKS AND RECREATION,2024,Budget,638124356.0,Historical
DEPARTMENT OF PARKS AND RECREATION,2025,Actual,650778000.0,Historical
DEPARTMENT OF PARKS AND RECREATION,2025,Budget,640454419.0,Historical
DEPARTMENT OF PARKS AND RECREATION,2026,Actual,672832374.84,Forecast
DEPARTMENT OF PARKS AND RECREATION,2026,Budget,660980803.0,Historical
DEPARTMENT OF PARKS AND RECREATION,2027,Actual,690524058.94,Forecast
DEPARTMENT OF PARKS AND RECREATION,2027,Budget,724212346.0,Historical
DEPARTMENT OF SANITATION,2020,Actual,2103205000.0,Historical
DEPARTMENT OF SANITATION,2020,Budget,1768551748.0,Historical
DEPARTMENT OF SANITATION,2021,Actual,2378700000.0,Historical
DEPARTMENT OF SANITATION,2021,Budget,2064350298.0,Historical
DEPARTMENT OF SANITATION,2022,Actual,2040331000.0,Historical
DEPARTMENT OF SANITATION,2022,Budget,2385562106.0,Historical
DEPARTMENT OF SANITATION,2023,Actual,1919278000.0,Historical
DEPARTMENT OF SANITATION,2023,Budget,2048817181.0,Historical
DEPARTMENT OF SANITATION,2024,Actual,1977801000.0,Historical
DEPARTMENT OF SANITATION,2024,Budget,1919354596.0,Historical
DEPARTMENT OF SANITATION,2025,Actual,2057939000.0,Historical
DEPARTMENT OF SANITATION,2025,Budget,1970755170.0,Historical
DEPARTMENT OF SANITATION,2026,Actual,2097799981.62,Forecast
DEPARTMENT OF SANITATION,2026,Budget,2060187888.0,Historical
DEPARTMENT OF SANITATION,2027,Actual,2143348063.38,Forecast
DEPARTMENT OF SANITATION,2027,Budget,2361140845.0,Historical
DEPARTMENT OF SMALL BUSINESS SERVICES,2020,Actual,340110000.0,Historical
DEPARTMENT OF SMALL BUSINESS SERVICES,2020,Budget,292917297.0,Historical
DEPARTMENT OF SMALL BUSINESS SERVICES,2021,Actual,227011000.0,Historical
DEPARTMENT OF SMALL BUSINESS SERVICES,2021,Budget,423746375.0,Historical
DEPARTMENT OF SMALL BUSINESS SERVICES,2022,Actual,513200000.0,Historical
DEPARTMENT OF SMALL BUSINESS SERVICES,2022,Budget,311961860.0,Historical
DEPARTMENT OF SMALL BUSINESS SERVICES,2023,Actual,364135000.0,Historical
DEPARTMENT OF SMALL BUSINESS SERVICES,2023,Budget,594261467.0,Historical
DEPARTMENT OF SMALL BUSINESS SERVICES,2024,Actual,284368000.0,Historical
DEPARTMENT OF SMALL BUSINESS SERVICES,2024,Budget,388761207.0,Historical
DEPARTMENT OF SMALL BUSINESS SERVICES,2025,Actual,276981000.0,Historical
DEPARTMENT OF SMALL BUSINESS SERVICES,2025,Budget,314552163.0,Historical
DEPARTMENT OF SMALL BUSINESS SERVICES,2026,Actual,248583846.26,Forecast
DEPARTMENT OF SMALL BUSINESS SERVICES,2026,Budget,326568128.0,Historical
DEPARTMENT OF SMALL BUSINESS SERVICES,2027,Actual,219567096.79,Forecast
DEPARTMENT OF SMALL BUSINESS SERVICES,2027,Budget,331264905.0,Historical
DEPARTMENT OF SOCIAL SERVICES,2020,Actual,10555945000.0,Historical
DEPARTMENT OF SOCIAL SERVICES,2020,Budget,10200550464.0,Historical
DEPARTMENT OF SOCIAL SERVICES,2021,Actual,10093485000.0,Historical
DEPARTMENT OF SOCIAL SERVICES,2021,Budget,10525685478.0,Historical
DEPARTMENT OF SOCIAL SERVICES,2022,Actual,10964994000.0,Historical
DEPARTMENT OF SOCIAL SERVICES,2022,Budget,10158128029.0,Historical
DEPARTMENT OF SOCIAL SERVICES,2023,Actual,11126992000.0,Historical
DEPARTMENT OF SOCIAL SERVICES,2023,Budget,11433932027.0,Historical
DEPARTMENT OF SOCIAL SERVICES,2024,Actual,12448781000.0,Historical
DEPARTMENT OF SOCIAL SERVICES,2024,Budget,11727573942.0,Historical
DEPARTMENT OF SOCIAL SERVICES,2025,Actual,13167354000.0,Historical
DEPARTMENT OF SOCIAL SERVICES,2025,Budget,12597269466.0,Historical
DEPARTMENT OF SOCIAL SERVICES,2026,Actual,14087527747.5,Forecast
DEPARTMENT OF SOCIAL SERVICES,2026,Budget,13403189383.0,Historical
DEPARTMENT OF SOCIAL SERVICES,2027,Actual,15026786637.79,Forecast
DEPARTMENT OF SOCIAL SERVICES,2027,Budget,14685909836.0,Historical
DEPARTMENT OF TRANSPORTATION,2020,Actual,1094127000.0,Historical
DEPARTMENT OF TRANSPORTATION,2020,Budget,1061111591.0,Historical
DEPARTMENT OF TRANSPORTATION,2021,Actual,1142242000.0,Historical
DEPARTMENT OF TRANSPORTATION,2021,Budget,1106927141.0,Historical
DEPARTMENT OF TRANSPORTATION,2022,Actual,1235382000.0,Historical
DEPARTMENT OF TRANSPORTATION,2022,Budget,1140489286.0,Historical
DEPARTMENT OF TRANSPORTATION,2023,Actual,1385386000.0,Historical
DEPARTMENT OF TRANSPORTATION,2023,Budget,1310816482.0,Historical
DEPARTMENT OF TRANSPORTATION,2024,Actual,1471076000.0,Historical
DEPARTMENT OF TRANSPORTATION,2024,Budget,1450374387.0,Historical
DEPARTMENT OF TRANSPORTATION,2025,Actual,1565366000.0,Historical
DEPARTMENT OF TRANSPORTATION,2025,Budget,1445688229.0,Historical
DEPARTMENT OF TRANSPORTATION,2026,Actual,1661732272.49,Forecast
DEPARTMENT OF TRANSPORTATION,2026,Budget,1537548180.0,Historical
DEPARTMENT OF TRANSPORTATION,2027,Actual,1758098544.9,Forecast
DEPARTMENT OF TRANSPORTATION,2027,Budget,1583843258.0,Historical
FIRE DEPARTMENT,2020,Actual,2174497000.0,Historical
FIRE DEPARTMENT,2020,Budget,2141934264.0,Historical
FIRE DEPARTMENT,2021,Actual,2235372000.0,Historical
FIRE DEPARTMENT,2021,Budget,2215209443.0,Historical
FIRE DEPARTMENT,2022,Actual,2486020000.0,Historical
FIRE DEPARTMENT,2022,Budget,2254294348.0,Historical
FIRE DEPARTMENT,2023,Actual,2552200000.0,Historical
FIRE DEPARTMENT,2023,Budget,2506269294.0,Historical
FIRE DEPARTMENT,2024,Actual,2719838000.0,Historical
FIRE DEPARTMENT,2024,Budget,2593987935.0,Historical
FIRE DEPARTMENT,2025,Actual,2843794000.0,Historical
FIRE DEPARTMENT,2025,Budget,2761341428.0,Historical
FIRE DEPARTMENT,2026,Actual,2990974772.6,Forecast
FIRE DEPARTMENT,2026,Budget,2884144455.0,Historical
FIRE DEPARTMENT,2027,Actual,3131946175.86,Forecast
FIRE DEPARTMENT,2027,Budget,2842842397.0,Historical
NEW YORK PUBLIC LIBRARY,2020,Actual,157377000.0,Historical
NEW YORK PUBLIC LIBRARY,2020,Budget,146307543.0,Historical
NEW YORK PUBLIC LIBRARY,2021,Actual,158498000.0,Historical
NEW YORK PUBLIC LIBRARY,2021,Budget,157451907.0,Historical
NEW YORK PUBLIC LIBRARY,2022,Actual,159893000.0,Historical
NEW YORK PUBLIC LIBRARY,2022,Budget,158734863.0,Historical
NEW YORK PUBLIC LIBRARY,2023,Actual,174642000.0,Historical
NEW YORK PUBLIC LIBRARY,2023,Budget,159755888.0,Historical
NEW YORK PUBLIC LIBRARY,2024,Actual,167718000.0,Historical
NEW YORK PUBLIC LIBRARY,2024,Budget,176314588.0,Historical
NEW YORK PUBLIC LIBRARY,2025,Actual,185733000.0,Historical
NEW YORK PUBLIC LIBRARY,2025,Budget,167242666.0,Historical
NEW YORK PUBLIC LIBRARY,2026,Actual,186449062.45,Forecast
NEW YORK PUBLIC LIBRARY,2026,Budget,185090338.0,Historical
NEW YORK PUBLIC LIBRARY,2027,Actual,192899798.71,Forecast
NEW YORK PUBLIC LIBRARY,2027,Budget,196592525.0,Historical
POLICE DEPARTMENT,2020,Actual,6086160000.0,Historical
POLICE DEPARTMENT,2020,Budget,5996064478.0,Historical
POLICE DEPARTMENT,2021,Actual,5542435000.0,Historical
POLICE DEPARTMENT,2021,Budget,6082976755.0,Historical
POLICE DEPARTMENT,2022,Actual,5881307000.0,Historical
POLICE DEPARTMENT,2022,Budget,5565365765.0,Historical
POLICE DEPARTMENT,2023,Actual,6310785000.0,Historical
POLICE DEPARTMENT,2023,Budget,5880851658.0,Historical
POLICE DEPARTMENT,2024,Actual,6627307000.0,Historical
POLICE DEPARTMENT,2024,Budget,6386027848.0,Historical
POLICE DEPARTMENT,2025,Actual,6870190000.0,Historical
POLICE DEPARTMENT,2025,Budget,6648355925.0,Historical
POLICE DEPARTMENT,2026,Actual,7136299104.91,Forecast
POLICE DEPARTMENT,2026,Budget,7003333839.0,Historical
POLICE DEPARTMENT,2027,Actual,7402408208.92,Forecast
POLICE DEPARTMENT,2027,Budget,6909145882.0,Historical
