agency_key,found_in
DEPARTMENT OF INFO TECH TELECOMM,budget_only
PUBLIC ADMINISTRATORBRONX COUNTY,budget_only
DEPARTMENT OF ENVIRONMENTAL PROTECT,budget_only
HEALTH AND HOSPITALS CORP,budget_only
ADMIN FOR CHILDRENS SERVICES,budget_only
BOARD OF CORRECTION,budget_only
MANHATTAN COMMUNITY BOARD 11,budget_only
DISTRICT ATTORNEY BRONX COUNTY,budget_only
BRONX COMMUNITY BOARD 1,budget_only
DEPARTMENT OF CITY PLANNING,budget_only
BROOKLYN COMMUNITY BOARD 17,budget_only
OFFICE OF THE ACTUARY,budget_only
EQUAL EMPLOYMENT PRACTICES COMMISSION,budget_only
QUEENS COMMUNITY BOARD 4,budget_only
BOARD OF ELECTIONS,budget_only
DEPARTMENT OF JUVENILE JUSTICE,budget_only
BROOKLYN COMMUNITY BOARD 1,budget_only
OFFICE OF RACIAL EQUITY,budget_only
HOUSING PRESERVATION AND DEVELOPMENT,budget_only
CAMPAIGN FINANCE BOARD,budget_only
DEPT OF CONSUMER WORKER PROTECTION,budget_only
QUEENS COMMUNITY BOARD 7,budget_only
MANHATTAN COMMUNITY BOARD 6,budget_only
QUEENS COMMUNITY BOARD 8,budget_only
CRIMINAL JUSTICE COORDINATOR,budget_only
PUBLIC ADMINISTRATORNEW YORK COUNTY,budget_only
BROOKLYN COMMUNITY BOARD 16,budget_only
BROOKLYN COMMUNITY BOARD 10,budget_only
DISTRICT ATTORNEY RICHMOND COUNTY,budget_only
LANDMARKS PRESERVATION COMM,budget_only
QUEENS COMMUNITY BOARD 2,budget_only
BOROUGH PRESIDENT QUEENS,budget_only
COMMISSION ON HUMAN RIGHTS,budget_only
OFFICE OF COLLECTIVE BARGAINING,budget_only
DEPARTMENT OF RECORDS INFORMATION SVS,budget_only
STATEN ISLAND COMMUNITY BOARD 3,budget_only
OFFICE OF PROSECUTION SPEC NARCO,budget_only
MANHATTAN COMMUNITY BOARD 10,budget_only
QUEENS COMMUNITY BOARD 10,budget_only
QUEENS COMMUNITY BOARD 14,budget_only
CIVILIAN COMPLAINT REVIEW BOARD,budget_only
DEPARTMENT OF EMPLOYMENT,budget_only
BROOKLYN COMMUNITY BOARD 12,budget_only
BRONX COMMUNITY BOARD 11,budget_only
DEPARTMENT OF INVESTIGATION,budget_only
QUEENS BOROUGH PUBLIC LIBRARY,budget_only
